Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_118.jpg;-7.472655;1;0;1.852577;100.938;87.45702;1.265666;53.78659;359.9796
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_168.jpg;-5.202279;1;0;1.898776;101.0084;87.54673;1.268484;53.00864;359.9893
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_218.jpg;-2.984501;1;0;1.929115;101.0563;87.60771;1.272024;52.6379;0.001266752
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_268.jpg;-0.7028361;1;0;1.974305;101.1297;87.70112;1.288433;52.33727;0.0002240655
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_317.jpg;0;1;0;2.004333;101.1794;87.76467;1.29611;52.27459;-0.0005564826
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_367.jpg;0;1;0;2.048603;101.2551;87.86175;1.302394;52.24201;-0.001102426
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_418.jpg;0;1;0;2.078516;101.3065;87.92755;1.301582;52.23155;-0.001153052
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_467.jpg;0;1;0;2.123636;101.385;88.02809;1.307452;52.2186;-0.001191912
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_517.jpg;0;1;0;2.152569;101.4383;88.09621;1.307609;52.21167;-0.001186094
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_568.jpg;0;1;0;2.197453;101.5196;88.20021;1.313828;52.19985;-0.00122071
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_617.jpg;0;1;0;2.226242;101.5747;88.27062;1.313492;52.19297;-0.001212597
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_668.jpg;0;1;0;2.270888;101.6587;88.37805;1.318205;52.18106;-0.001245078
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_718.jpg;-0.7233011;1;0;2.30004;101.7157;88.45074;1.319516;52.1613;-0.001228746
